Year,Month,DayPeriod,Type,Operator,Location,LocationType,Continent,Country,WaterBodyType,WaterBodyName,FederalSubject,CauseCategory,WeatherCondition,Survivors,FlightPhase,Aboard,Ground,Fatalities,SurvivalSeverity,latitude,longitude,geocoded_info
1956,Jan,Unknown,Douglas DC-3,Ceskoslovenske Aerolinie,"Torysa, Czechoslovakia",Land,Unknown,Unknown,Unknown,Unknown,Czechoslovakia,Unknown,Unknown,No,En Route,26,0,22,Partial Survived,49.0674308,21.1176918,Matched: Torysa
1956,Jan,Unknown,Douglas C-47,Air France,"Lyon, France",Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,3,0,3,None Survived,45.7578137,4.8320114,
1956,Feb,Unknown,Bristol 170 Freighter 31,Maritime Central Airways,"Frobisher Bay, Canada",Watery,North America,Canada,Gulf,"Frobisher Bay,",Unknown,Unknown,Unknown,No,Take,2,0,2,None Survived,63.7492738,-68.5213763,
1956,Feb,Unknown,Douglas C-47-DL,Spartan Air Services," Fort Chimo, Quebec, Canada",Land,North America,Canada,Unknown,Unknown,Quebec,Unknown,Unknown,No,Unknown,3,0,2,Partial Survived,58.1066864,-68.4038778,
1956,Feb,Afternoon,Douglas R5D2,Military - U.S. Marine Corps," Niles, California",Land,North America,United States,Unknown,Unknown,California,Unknown,Unknown,No,Unknown,40,0,40,None Survived,37.5781419,-121.9804698,
1956,Feb,Afternoon,Avro 685 York C-1,Scottish Airlines," Zurrieg, Malta",Land,Europe,Malta,Unknown,Unknown,Unknown,Mechanical,Unknown,No,Unknown,50,0,50,None Survived,35.8885993,14.4476911,Matched: Malta
1956,Feb,Night,Douglas DC-6B,Transport Aerien Intercontinentaux (France)," Cairo, Egypt",Land,Africa,Egypt,Unknown,Unknown,Unknown,Human Error,Unknown,No,Landing,64,0,52,Partial Survived,30.0443879,31.2357257,
1956,Feb,Unknown,Douglas DC-3,Syrian Airways," Aleppo, Syria",Land,Asia,Syria,Unknown,Unknown,Unknown,Mechanical,Thunderstorm,No,Unknown,19,0,19,None Survived,36.19924,37.1637253,
1956,Feb,Afternoon,Douglas C-47B,Pakistan International Airlines,"Jalkot, Pakistan",Land,Asia,Pakistan,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,3,0,3,None Survived,35.0729732,72.8693976,
1956,Mar,Unknown,Douglas DC-3,Indian Airlines,"Tezpur, India",Land,Asia,India,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,21,0,2,Partial Survived,26.616957,92.7650072,
1956,Mar,Unknown,Douglas C-47B,Starways,"Largs, England",Land,Europe,England,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,3,0,1,Partial Survived,52.1814012,0.2214248,
1956,Mar,Unknown,Douglas C-47A,National Air Operators,"Indapur, India",Land,Asia,India,Unknown,Unknown,Unknown,Weather,Rain,No,En Route,3,0,3,None Survived,18.1125305,74.9238654,
1956,Mar,Unknown,Douglas C-47A,Military - Royal Thai Air Force,"Korat ,Thailand",Land,Asia,Thailand,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,18,0,18,None Survived,14.9747339,102.0981161,
1956,Apr,Evening,Martin 404,Trans World Airlines,"Pittsburgh, Pennsylvania",Land,North America,United States,Unknown,Unknown,Pennsylvania,Unknown,Unknown,No,Take,36,0,22,Partial Survived,40.4416941,-79.9900861,
